"director","title_count"
"Kevin Layne","2"
"Andrzej Bartkowiak","2"
"Gilles Paquet-Brenner","2"
"Florent Bodin","2"
"Herman Yau","2"
"Nadia Hallgren","2"
"Kemi Adetiba","2"
"Kyle Newacheck","2"
"Stacie Passon","2"
"Christopher Guest","2"
"Michael Damian","2"
"John Ford","2"
"Kevin Ford, Smriti Keshari, Eric Schlosser","1"
"Peter Facinelli","1"
"Matt Bell","1"
"Mariana Tschudi, Héctor Gálvez","1"
"Sivaroj Kongsakul","1"
"Jon Izen","1"
"Lydia Dean Pilcher, Ginny Mohler","1"
"Mehmet Ada Öztekin","1"
"Danny J. Boyle","1"
"Peter Mortimer, Josh Lowell","1"
"Lewis Milestone, Carol Reed","1"
"Atul Sabharwal","1"
"Gary Wheeler","1"
"Venkatesh Maha","1"
"Ramesh Sippy","1"
"Holger Tappe","1"
"Alex Stapleton","1"
"Majid Majidi","1"
"Elizabeth Wood","1"
"Oren Uziel","1"
"Paul Weitz","1"
"Gary Young","1"
"Tarek Abdel Moaty","1"
"Tatsushi Omori","1"
"Barry Jenkins","1"
"Tekin Girgin","1"
"Santram Varma","1"
"Krzysztof Zanussi","1"
"Anthony Scott Burns","1"
"Honey Trehan","1"
"Rajesh Mapuskar","1"
"Che Sandoval","1"
"Asim Raza","1"
"Seth Barrish, Mike Birbiglia","1"
"Jan Komasa","1"
"Marc Meyers","1"
"Zach Braff","1"
"Célia Catunda, Kiko Mistrorigo, Rodrigo Eba","1"
"Barry Gonzalez","1"
"Sandra Restrepo","1"
"Rusty Nixon","1"
"Terry Gilliam, Terry Jones","1"
"Maya Forbes","1"
"Ariel Vromen","1"
"Regina Welker, Nina Wels","1"
"David Hunt","1"
"Prawal Raman","1"
"Chandra Liow","1"
"Alex Garland","1"
"Juliana Vicente","1"
"Edgar Wright","1"
"Mahmoud al Massad","1"
"George Stevens","1"
"Gurudev Bhalla","1"
"Shanawaz Nellikunnil","1"
"Phyllida Lloyd","1"
"Richard Greenberg","1"
"Justin Kelly","1"
"Benjamin Arfmann","1"
"Pulkit","1"
"Brian Skiba","1"
"Aleksey German","1"
"V. Scott Balcerek","1"
"Borja Cobeaga","1"
"Jee-woon Kim","1"
"Matt Wechsler","1"
"Einar Gabbassov","1"
"Joe Swanberg","1"
"Nitesh Tiwari","1"
"Gervasio Iglesias, Alexis Morante","1"
"Louis Leterrier","1"
"Mitch Gould","1"
"Renato De Maria","1"
"Mark McQueen","1"
"Geetu Mohandas","1"
"Olivier Megaton","1"
